INCIDENT_ID,INDIVIDUAL_RACE,INDIVIDUAL_GENDER,INDIVIDUAL_AGE,INDIVIDUAL_INJURY_TYPE,ObjectID,YR,Latitude,Longitude,CreationDate,Creator,EditDate,Editor
6788,Black,Male,29,Non-Fatal Injury,22,2008,35.2200525751,-80.8080232581,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
6530,Black,Male,52,Non-Fatal Injury,23,2008,35.1629054112,-80.8761592683,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
6508,Hispanic,Male,37,Non-Fatal Injury,24,2008,35.325941465,-80.8614263024,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
7699,Black,Male,35,Non-Fatal Injury,25,2008,35.2580411017,-80.7842380302,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
7307,Black,Male,36,Non-Fatal Injury,26,2008,35.2526941601,-80.8497010414,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
7218,Hispanic,Male,27,Non-Fatal Injury,27,2008,35.1403037207,-80.8941639154,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
6867,Black,Male,21,Fatal Injury,28,2008,35.24248825,-80.8295948795,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
9687,Hispanic,Male,17,Miss,29,2010,35.1982854647,-80.7263528374,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
10386,Black,Male,21,Non-Fatal Injury,30,2010,35.2364618415,-80.7432228868,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
10392,Black,Male,25,Non-Fatal Injury,31,2010,35.1733500207,-80.8512840502,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
10973,White,Male,48,Fatal Injury,32,2010,35.1686449363,-80.8627469696,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
11088,Hispanic,Male,57,Miss,33,2010,35.2265812227,-80.7473082865,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
10484,White,Male,24,Miss,34,2010,35.2274098004,-80.7576447066,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
11493,Black,Male,21,Non-Fatal Injury,35,2011,35.233936993,-80.8809642526,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
10789,Black,Male,15,Non-Fatal Injury,36,2010,35.3141508718,-80.8219327572,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
10974,Black,Male,69,Non-Fatal Injury,37,2010,35.2698476708,-80.7795207465,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
12277,Hispanic,Male,22,Non-Fatal Injury,38,2011,35.2117777605,-80.7614796385,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
12646,Black,Male,28,Miss,39,2011,35.166106593,-80.8936357157,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
13575,White,Male,21,Non-Fatal Injury,40,2012,35.279278875,-80.9118256526,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
13080,White,Male,48,Non-Fatal Injury,41,2012,35.2183375193,-80.8539675172,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
14477,White,Male,55,Fatal Injury,42,2013,35.1657755096,-80.8723733214,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
13634,Black,Male,28,Fatal Injury,43,2012,35.2502543967,-80.8616692141,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
13894,White,Male,26,Fatal Injury,44,2012,35.0681237822,-80.7862160365,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15255,Black,Male,17,Fatal Injury,45,2013,35.2689129751,-80.7855150846,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15255,Black,Male,17,Miss,46,2013,35.2689129751,-80.7855150846,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
16193,Black,Male,31,Non-Fatal Injury,47,2014,35.2932820009,-80.7576026519,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15735,Black,Male,25,Miss,48,2013,35.2409276709,-80.824840057,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15332,White,Male,59,Fatal Injury,49,2013,35.3114086314,-80.7857503275,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15735,Black,Male,24,Miss,50,2013,35.2409276709,-80.824840057,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15735,Black,Male,27,Miss,51,2013,35.2409276709,-80.824840057,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
17466,Black,Male,31,Non-Fatal Injury,52,2014,35.204821177,-80.7385782646,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
17590,Black,Male,,Miss,53,2014,35.2682802845,-80.8539153895,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
17817,Black,Male,,Non-Fatal Injury,54,2014,35.2358007904,-80.7347245575,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
16556,Black,Male,26,Miss,55,2014,35.2941916171,-80.9290699548,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
17939,Black,Male,27,Non-Fatal Injury,56,2015,35.2222115874,-80.8434126804,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
18163,Black,Female,20,Fatal Injury,57,2015,35.2508041716,-80.8184683606,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
18223,Black,Male,14,Non-Fatal Injury,58,2015,35.238000275,-80.8285226638,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
17016,Black,Male,21,Miss,59,2014,35.2422104547,-80.8589964148,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
17018,Black,Male,21,Fatal Injury,60,2014,35.2926361388,-80.7559027434,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
19333,Black,Male,32,Miss,61,2015,35.2231181886,-80.8709955482,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
15821,Black,Male,24,Fatal Injury,62,2013,35.2535717534,-80.6476806977,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
19722,Black,Male,33,Fatal Injury,63,2016,35.2419303169,-80.9134544457,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
19720,Black,Male,30,Fatal Injury,64,2016,35.2188104799,-80.8854171964,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
19693,Black,Male,18,Fatal Injury,65,2015,35.3499809047,-80.8527021013,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20336,Black,Male,25,Non-Fatal Injury,66,2016,35.1085836329,-80.9795311493,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
19808,Unknown,Male,,Miss,67,2016,35.160943569,-80.896387052,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20421,Black,Male,18,Fatal Injury,68,2016,35.2894174234,-80.7584140885,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20675,Hispanic,Male,,Non-Fatal Injury,69,2016,,,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
22580,Black,Male,23,Fatal Injury,70,2018,35.222887,-80.83692,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20244,Asian or Pacific islander,Male,,Fatal Injury,71,2016,35.2451980638,-80.9352155306,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20497,Black,Male,40,Non-Fatal Injury,72,2016,35.1563755786,-80.7560093813,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20736,White,Male,30,Non-Fatal Injury,73,2016,35.203083254,-80.7422843702,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20904,Black,Male,,Non-Fatal Injury,74,2016,35.2244068763,-80.8929113782,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
21414,White,Male,25,Fatal Injury,75,2017,35.2604238,-80.8327788842,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
22078,Hispanic,Male,,Fatal Injury,76,2017,35.279472,-80.787744,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
23428,Black,Male,,Non-Fatal Injury,77,2018,35.234388,-80.936614,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
23096,Black,Male,41,Miss,78,2018,35.191562,-80.734968,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
20825,Black,Male,43,Fatal Injury,79,2016,35.2928903065,-80.7275385082,2018-10-16T09:02:13.217Z,CharlotteNC,2018-10-16T09:02:13.217Z,CharlotteNC
