INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_DATE,OFFICER_ASSIGNMENT,LOCATION_DISTRICT,SHIFT,LOCATION_DISTRICT.1,REASON_FOR_FORCE,TYPE_OF_FORCE_USED,SUBJECT_DETAILS,INCIDENT_REASON,SUBJECT_WAS_ARRESTED,CHARGE,SUBJECT_INJURY,SUBJECT_HOSPITALIZATION,SUBJECT_DETAILS.1,OFFICER_INJURY,OFFICER_HOSPITALIZATION,OFFICER_DETAILS,SUBJECT_RACT,SUBJECT_GENDER,SUBJECT_AGE,OFFICER_RACE,OFFICER_GENDER,OFFICER_AGE,OFFICER_YEARS_ON_FORCE,OFFICER_ID
50440c81dde50f2a86e997c0c1a42173,8/25/14 0:00,Operations Division,Southeast District,SE Late Shift,,Fleeing,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Possession of Cocaine (F),TRUE,FALSE,Minor Bleeding,FALSE,FALSE,,White,Male,34,White,Male,36,11,a23ef0251e54b41ba2345e512043b9e6
0dbfcea33161568591ee1bce0498b590,8/23/14 0:00,Operations Division,North District,ND Late Tactical Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Resisting Law Enforcement (M),TRUE,TRUE,Laceration,FALSE,FALSE,No injuries noted or visible,Black,Male,36,White,Male,39,11,1d8d80150a7f4d1899449c27e22590f3
9e215ee831c6736b1bb71039005079b2,8/24/14 0:00,Homeland Security Division,Homeland Security Bureau/Tactical,Canine Section,Canine Unit - Late Tactical,Assaulting Citizen(s),Canine Bite,In compliance,Investigation,TRUE,Resisting Law Enforcement (M),TRUE,TRUE,Canine Bite,FALSE,FALSE,,White,Male,17,White,Male,35,11,ad10bd915e9346169a0f0422affd24b8
f636c99ea09082c1275875903d027ad9,8/24/14 0:00,Operations Division,Southwest District,SW Middle Shift,,Combative Suspect,Physical-Handcuffing,In compliance,Arrest,TRUE,,TRUE,TRUE,difficulty breathing,TRUE,TRUE,,White,Male,51,White,Male,35,12,571eecd41b23b5d162ff508efb7be9f6
fa3179d8c1a76e4ddc6fc9fb4b5802f9,8/26/14 0:00,Operations Division,Northwest District,NW Late Shift,,Fleeing,"Physical-Hands, Fist, Feet",In compliance,Self-Initiated Activity,TRUE,Resisting Law Enforcement (M),TRUE,TRUE,No injuries noted or visible,TRUE,TRUE,Internal Pain/Discomfort,Black,Male,34,White,Male,28,4,8bef17f822428b0dbcff041bdd66b620
fa3179d8c1a76e4ddc6fc9fb4b5802f9,8/26/14 0:00,Operations Division,Northwest District,NW Late Shift,,Fleeing,Less Lethal-Taser,In compliance,Self-Initiated Activity,TRUE,Possession of Marijuana/Hash (F),TRUE,TRUE,No injuries noted or visible,TRUE,TRUE,Internal Pain/Discomfort,Black,Male,34,White,Male,28,4,8bef17f822428b0dbcff041bdd66b620
4f0cfccbf634860109c492e5a2c2188e,8/27/14 0:00,Operations Division,North District,ND Late Shift,,Assaulting Officer(s),"Physical-Hands, Fist, Feet",In compliance,Call For Service,TRUE,Resisting Law Enforcement (F),FALSE,TRUE,No injuries noted or visible,TRUE,FALSE,bruising and pain,Black,Male,40,White,Male,27,5,c8639299f781df7499de14772d3697ef
87030ad5c86ccd57522c645cbf33ca05,8/27/14 0:00,Operations Division,Southwest District,SW Late Shift,,Resisting Arrest,Less Lethal-Personal CS/OC spray,In compliance,Arrest,TRUE,Possession of Marijuana/Hash (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,28,White,Male,36,7,8cdcbaa4a521d6e01d853f7dc42f8d74
c8b2a1d48962e06fa6e75747b1b1bd1d,8/29/14 0:00,Operations Division,Southeast District,SE Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Arrest,TRUE,Public Intoxication,TRUE,FALSE,abrasion,FALSE,FALSE,No injuries noted or visible,White,Male,30,White,Male,31,6,ffd9da06b916f84792d7bb9c6edc4ba4
acd76934b622e4fc36ee2616e4fafec9,8/28/14 0:00,Operations Division,Southwest District,SW Late Shift,,Resisting Arrest,,In compliance,Arrest,TRUE,Battery (F),FALSE,FALSE,,FALSE,FALSE,Swelling,White,Male,48,Asian,Female,42,10,71e88311a045d66d2ef8404a57f905c6
acd76934b622e4fc36ee2616e4fafec9,8/28/14 0:00,Operations Division,Southwest District,SW Late Shift,,Resisting Arrest,Less Lethal-Personal CS/OC spray,In compliance,Arrest,TRUE,Resisting Law Enforcement (F),FALSE,FALSE,,FALSE,FALSE,,White,Male,48,White,Male,36,7,84fe72786ab3a1ec3cbe3a89c35b83d2
c8b2a1d48962e06fa6e75747b1b1bd1d,8/29/14 0:00,Operations Division,Southeast District,SE Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Arrest,TRUE,Public Intoxication,TRUE,FALSE,abrasion,FALSE,FALSE,No injuries noted or visible,White,Male,30,White,Male,29,6,879dfb2e29ae178577559bf17827f056
23c8914a55a879a9a7807cfe7833d1fe,9/5/14 0:00,Operations Division,East District,ED Late Shift,,Fleeing,Less Lethal-Taser,In compliance,Arrest,TRUE,Robbery,FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Black,Male,,White,Male,32,8,b0aade914247fb2dd9103fde87cede22
3bb2b0c135af326bd022bb03b735b306,12/17/14 0:00,Operations Division,Southeast District,SE Late Shift,,Resisting Arrest,Less Lethal-Taser,In compliance,Investigation,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,,FALSE,FALSE,,White,Female,52,White,Male,43,11,b7bc9faee31ffda3f6fc9e473f426596
f07a82ebaed693f5d1a40c5680f11f5e,8/29/14 0:00,Homeland Security Division,Homeland Security Bureau/Tactical,Canine Section,Canine Unit - Day,Fleeing,Canine Bite,In compliance,Call For Service,TRUE,Resisting Law Enforcement (F),TRUE,FALSE,Canine Bite,FALSE,FALSE,,White,Male,35,White,Male,59,26,3a68c585f92d665d3e8e069732192b4d
5f188a7245306b05340928f54a2a280b,9/1/14 0:00,Operations Division,Northwest District,NW Late Shift,,Resisting Arrest,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Black,Male,17,White,Male,36,11,0fbb9db93e21b39f479536e78b04bb09
ce55b6b0e829805a32edd0591a8dd918,9/1/14 0:00,Operations Division,North District,ND Late Shift,,Combative Suspect,,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Bi-Racial,Male,16,White,Male,39,6,5e0e5b80471ca78cd50106a4c844ae4d
ce55b6b0e829805a32edd0591a8dd918,9/1/14 0:00,Operations Division,North District,ND Late Shift,,Combative Suspect,,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Bi-Racial,Male,16,White,Female,38,12,91c7ad083d74cea3219da0b21111ef96
9acce246aa51b31a12a1aea15305a399,9/1/14 0:00,Operations Division,North District,ND Late Shift,,Non-Compliant,Physical-Weight Leverage,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,14,White,Male,40,16,11e43b103d2e1e9ce321f1ee21b4abac
9acce246aa51b31a12a1aea15305a399,9/1/14 0:00,Operations Division,North District,ND Late Shift,,Non-Compliant,Physical-Handcuffing,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,14,White,Male,40,16,11e43b103d2e1e9ce321f1ee21b4abac
9acce246aa51b31a12a1aea15305a399,9/1/14 0:00,Operations Division,North District,ND Late Shift,,Non-Compliant,Physical-Joint/Pressure,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,14,White,Male,40,16,11e43b103d2e1e9ce321f1ee21b4abac
b38b28559f5f1167194216d82e6472b9,9/1/14 0:00,Other Assignments,Temporary Assignments,Manpower Pool,Military Leave,Resisting Arrest,Physical-Joint/Pressure,In compliance,Call For Service,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,,FALSE,FALSE,,White,Female,29,White,Male,36,5,98cedc286e35e7e5ec83987337c95116
a6485e4b8e39de3f5ad257c4ffd3e839,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Non-Compliant,Physical-Handcuffing,In compliance,ERG Incident,TRUE,Battery (F),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,15,White,Female,48,13,eedf9207916f8361a210b85561dc7c7b
a6485e4b8e39de3f5ad257c4ffd3e839,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Non-Compliant,Physical-Joint/Pressure,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Black,Male,15,White,Male,43,13,9ac5e459414a2322fb18f8d15166afd5
a6485e4b8e39de3f5ad257c4ffd3e839,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Non-Compliant,Physical-Weight Leverage,In compliance,ERG Incident,TRUE,Battery (F),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,15,White,Female,48,13,eedf9207916f8361a210b85561dc7c7b
a6485e4b8e39de3f5ad257c4ffd3e839,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Non-Compliant,Physical-Weight Leverage,In compliance,ERG Incident,TRUE,Battery (F),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Black,Male,15,White,Male,43,13,9ac5e459414a2322fb18f8d15166afd5
a6485e4b8e39de3f5ad257c4ffd3e839,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Non-Compliant,Physical-Handcuffing,In compliance,ERG Incident,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,15,Other,Male,34,6,fbe9e86459fb910f116c5f33e736fb73
a6485e4b8e39de3f5ad257c4ffd3e839,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Non-Compliant,Physical-Weight Leverage,In compliance,ERG Incident,TRUE,Battery (F),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,15,Other,Male,34,6,fbe9e86459fb910f116c5f33e736fb73
b8ace20a08055d53fbc38b9abc4ffed2,8/31/14 0:00,Operations Division,East District,ED Late Shift,,Assaulting Citizen(s),Less Lethal-Pepperball,In compliance,ERG Incident,FALSE,,FALSE,FALSE,,FALSE,FALSE,No injuries noted or visible,,Male,,White,Male,48,13,27ffc090267569e1b176dc33da86764d
b38b28559f5f1167194216d82e6472b9,9/1/14 0:00,Other Assignments,Temporary Assignments,Manpower Pool,Military Leave,Resisting Arrest,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,,FALSE,FALSE,,White,Female,29,White,Male,28,2,97d9f68ea4022b312254a2f66e1939bb
b38b28559f5f1167194216d82e6472b9,9/1/14 0:00,Other Assignments,Temporary Assignments,Manpower Pool,Military Leave,Resisting Arrest,Physical-Joint/Pressure,In compliance,Call For Service,TRUE,Disorderly Conduct,FALSE,FALSE,,FALSE,FALSE,,White,Female,29,White,Male,28,2,97d9f68ea4022b312254a2f66e1939bb
b38b28559f5f1167194216d82e6472b9,9/1/14 0:00,Other Assignments,Temporary Assignments,Manpower Pool,Military Leave,Resisting Arrest,Physical-Handcuffing,In compliance,Call For Service,TRUE,Disorderly Conduct,FALSE,FALSE,,FALSE,FALSE,,White,Female,29,White,Male,28,2,97d9f68ea4022b312254a2f66e1939bb
737e24cb3cf142602f4cfc1dad15c5e5,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Arrest,TRUE,Resisting Law Enforcement (M),TRUE,FALSE,Abrasion,FALSE,FALSE,,Hispanic,Female,13,White,Male,29,4,9b685b191d4b4ab6ac8afaeec2aff027
2309a00b87b4fe412bd5a5866876f1a6,9/10/15 0:00,Operations Division,East District,ED Detective Section,ED Detective Middle Shift,Non-Compliant,Physical-Take Down,In compliance,Investigation,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Black,Male,39,Black,Male,45,11,28ac4c88cf496b1c25ab6ba2ea491f68
737e24cb3cf142602f4cfc1dad15c5e5,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Resisting Arrest,Physical-Handcuffing,In compliance,Arrest,TRUE,Theft/Receiving Stolen Property,TRUE,FALSE,Abrasion,FALSE,FALSE,,Hispanic,Female,13,White,Male,34,5,b2e26f1eff9ac4a35bb6523417772b1f
39305cb639c55e9c456bcedcee914d5d,9/3/15 0:00,Operations Division,Southeast District,SE Day Shift,SE Day Shift,Fleeing,Physical-Take Down,In compliance,Call For Service,TRUE,Resisting Law Enforcement (M),TRUE,FALSE,Minor Scrapes,FALSE,FALSE,,White,Male,46,White,Male,44,14,bff5f96b454be01d06792b6c3fd909e9
737e24cb3cf142602f4cfc1dad15c5e5,9/1/14 0:00,Operations Division,Northwest District,NW Middle Shift,,Resisting Arrest,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Resisting Law Enforcement (F),TRUE,FALSE,Abrasion,FALSE,FALSE,,Hispanic,Female,13,White,Male,29,4,9b685b191d4b4ab6ac8afaeec2aff027
df85e8f318ed598364dc8b5de11034ca,9/2/14 0:00,Operations Division,North District,ND Middle Shift,,Combative Suspect,Less Lethal-Personal CS/OC spray,In compliance,Investigation,TRUE,Possession of Paraphernalia,FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,,Black,Male,35,White,Female,26,4,0635c17a82022b087bd36473ce78ee52
d316bacaeb60ba23e16205accba21b38,9/27/14 0:00,Operations Division,East District,ED Late Shift,,Combative Suspect,Less Lethal-Other,In compliance,Arrest,TRUE,,FALSE,TRUE,,TRUE,FALSE,Internal Pain/Discomfort,Black,Male,39,White,Male,55,21,82c36aa4868361207c219a54e04e3821
8646f3c44d0e3c0cb2a6c07e7ac65eee,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Non-Compliant,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Battery by Bodily Waste,FALSE,TRUE,Internal Pain/Discomfort,FALSE,FALSE,,White,Male,,White,Male,36,5,00369a66c53ecad9ff129cdc39233d41
21e99feda1106f484ef92c689f968061,9/3/14 0:00,Homeland Security Division,Homeland Security Bureau/Tactical,Canine Section,Canine Unit - Day,Resisting Arrest,Less Lethal-Taser,In compliance,Arrest,TRUE,Resisting Law Enforcement (M),TRUE,TRUE,Canine Bite,FALSE,FALSE,,White,Male,35,White,Male,40,12,3f66042a882d42ffea159e4271cf266b
21e99feda1106f484ef92c689f968061,9/3/14 0:00,Homeland Security Division,Homeland Security Bureau/Tactical,Canine Section,Canine Unit - Day,Resisting Arrest,Canine Bite,In compliance,Arrest,TRUE,Possession of a Handgun (F),TRUE,TRUE,Canine Bite,FALSE,FALSE,,White,Male,35,White,Male,47,20,e1a43b8c17195ab84191b5be6c784903
bd1036e7e2d73cc74b98fae53a691cbd,9/4/14 0:00,Operations Division,Southeast District,SE Late Shift,,Assaulting Officer(s),"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Criminal Trespass,TRUE,FALSE,Swelling,TRUE,FALSE,Internal Pain/Discomfort,Black,Male,46,White,Male,46,15,a9df8cc5ed884618255098aeb6700e9b
8646f3c44d0e3c0cb2a6c07e7ac65eee,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Non-Compliant,Physical-Joint/Pressure,In compliance,Call For Service,TRUE,Battery by Bodily Waste,FALSE,TRUE,Internal Pain/Discomfort,FALSE,FALSE,,White,Male,,White,Male,36,5,00369a66c53ecad9ff129cdc39233d41
8646f3c44d0e3c0cb2a6c07e7ac65eee,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Non-Compliant,"Physical-Hands, Fist, Feet",In compliance,Call For Service,TRUE,Criminal Mischief (M),FALSE,TRUE,Internal Pain/Discomfort,FALSE,FALSE,,White,Male,,White,Male,38,5,1b7a6ab7c63ccfd6dbe41cc824d80294
8646f3c44d0e3c0cb2a6c07e7ac65eee,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Non-Compliant,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Battery by Bodily Waste,FALSE,TRUE,Internal Pain/Discomfort,FALSE,FALSE,,White,Male,,White,Male,38,5,1b7a6ab7c63ccfd6dbe41cc824d80294
bd1036e7e2d73cc74b98fae53a691cbd,9/4/14 0:00,Operations Division,Southeast District,SE Late Shift,,Assaulting Officer(s),Less Lethal-Personal CS/OC spray,In compliance,Arrest,TRUE,Resisting Law Enforcement (M),TRUE,FALSE,Minor Bleeding,TRUE,FALSE,Internal Pain/Discomfort,Black,Male,46,White,Male,38,11,fdd7ee474b8e5ebeae487166e6e75d98
8646f3c44d0e3c0cb2a6c07e7ac65eee,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Non-Compliant,Physical-Joint/Pressure,In compliance,Call For Service,TRUE,Battery by Bodily Waste,FALSE,TRUE,Internal Pain/Discomfort,FALSE,FALSE,,White,Male,,White,Male,38,5,1b7a6ab7c63ccfd6dbe41cc824d80294
8646f3c44d0e3c0cb2a6c07e7ac65eee,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Non-Compliant,"Physical-Hands, Fist, Feet",In compliance,Call For Service,TRUE,Criminal Mischief (M),FALSE,TRUE,Internal Pain/Discomfort,FALSE,FALSE,,White,Male,,White,Male,36,5,00369a66c53ecad9ff129cdc39233d41
371d9ecd71afc80737567d0bd7e1a91d,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Fleeing,Physical-Joint/Pressure,In compliance,Arrest,TRUE,Resisting Law Enforcement (M),TRUE,FALSE,Probe strikes,FALSE,FALSE,No injuries noted or visible,Black,Male,20,White,Male,40,8,5278b3170f32457b068e859fda91ce46
371d9ecd71afc80737567d0bd7e1a91d,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Fleeing,Less Lethal-Taser,In compliance,Arrest,TRUE,Resisting Law Enforcement (M),TRUE,FALSE,Probe strikes,FALSE,FALSE,No injuries noted or visible,Black,Male,20,White,Male,40,8,5278b3170f32457b068e859fda91ce46
530fb501574a352678ebc43a8e8c9f03,9/4/14 0:00,Operations Division,Southwest District,SW Late Tactical Shift,,Combative Suspect,Less Lethal-Personal CS/OC spray,In compliance,Arrest,TRUE,Public Intoxication,FALSE,FALSE,,FALSE,FALSE,,White,Female,33,White,Male,33,10,05a20a061a5705da48ef6146e3e71c93
bd1036e7e2d73cc74b98fae53a691cbd,9/4/14 0:00,Operations Division,Southeast District,SE Late Shift,,Assaulting Officer(s),"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Criminal Trespass,TRUE,FALSE,Swelling,TRUE,FALSE,Internal Pain/Discomfort,Black,Male,46,White,Male,38,11,fdd7ee474b8e5ebeae487166e6e75d98
96e0b4b0876222c0723a45cbb4ec8628,8/23/14 0:00,Operations Division,Southwest District,SW Day Shift,SW Day Shift 2nd Rc,Combative Suspect,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Battery (F),TRUE,FALSE,Swelling,TRUE,TRUE,Laceration,Hispanic,Male,22,White,Male,36,12,cc8603f5f98a4dc85df808969fa73899
bd1036e7e2d73cc74b98fae53a691cbd,9/4/14 0:00,Operations Division,Southeast District,SE Late Shift,,Assaulting Officer(s),Less Lethal-Taser,In compliance,Arrest,TRUE,Battery (F),TRUE,FALSE,Swelling,TRUE,FALSE,,Black,Male,46,White,Male,36,12,615db5ade755d86760e6f24eaef4f9aa
272fa6a820d0583512950a576063272f,10/24/14 0:00,Operations Division,Northwest District,NW Late Shift,,Non-Compliant,"Physical-Hands, Fist, Feet",In compliance,Arrest,TRUE,Stolen Vehicle,FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,Black,Male,23,White,Male,30,5,1c7f47d40cfd481c849109b068377153
e8a6c61de7a04126f5245c092b993a11,10/26/14 0:00,Operations Division,Southwest District,SW Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Possession of Paraphernalia,TRUE,TRUE,Minor Bleeding,TRUE,TRUE,Laceration,White,Male,35,Hispanic,Male,29,6,6c285eeb765159035c1342a0aec8ff4a
e8a6c61de7a04126f5245c092b993a11,10/26/14 0:00,Operations Division,Southwest District,SW Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Possession of Paraphernalia,TRUE,TRUE,Minor Bleeding,TRUE,TRUE,Minor Bleeding,White,Male,35,White,Male,29,4,a5778a92f2dc932d6c0ae438369f9c89
90b0f1bead0a843f68ab347fb80054b8,10/26/14 0:00,Operations Division,Southwest District,SW Late Shift,,Non-Compliant,"Physical-Hands, Fist, Feet",In compliance,Call For Service,TRUE,Resisting Law Enforcement (M),FALSE,FALSE,,FALSE,FALSE,,Black,Male,35,White,Male,41,17,3066b44ec63ad2149a8d58287b3a0a4e
9f4676360240ffdae729cdbe9f123b03,9/8/14 0:00,Operations Division,East District,ED Middle Shift,,Assaulting Officer(s),Physical-Joint/Pressure,In compliance,Call For Service,TRUE,Resisting Law Enforcement (F),FALSE,FALSE,scratch to neck,TRUE,FALSE,,Black,Female,23,White,Male,27,4,7e98d350f4f6aa9d4e1939d71295cac7
6e4bce92bfe4e7fb2d79e5c262eb4c0f,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Call For Service,TRUE,Battery (M),TRUE,FALSE,Internal Pain/Discomfort,TRUE,FALSE,No injuries noted or visible,White,Male,24,White,Male,37,5,4a02888ff5ffae9141750d1c54914eab
6e4bce92bfe4e7fb2d79e5c262eb4c0f,9/3/14 0:00,Operations Division,East District,ED Middle Shift,,Resisting Arrest,Physical-Handcuffing,In compliance,Call For Service,TRUE,Domestic Battery (F),TRUE,FALSE,Minor Bleeding,TRUE,FALSE,Internal Pain/Discomfort,White,Male,24,White,Male,38,5,1b7a6ab7c63ccfd6dbe41cc824d80294
5221e933f42465e44865f83238fbbeac,9/8/14 0:00,Operations Division,East District,ED Late Shift,,Resisting Arrest,Less Lethal-Personal CS/OC spray,In compliance,Traffic Stop,TRUE,,FALSE,FALSE,No injuries noted or visible,TRUE,TRUE,,Black,Male,32,White,Female,38,12,91c7ad083d74cea3219da0b21111ef96
5221e933f42465e44865f83238fbbeac,9/8/14 0:00,Operations Division,East District,ED Late Shift,,Resisting Arrest,,In compliance,Traffic Stop,TRUE,,FALSE,FALSE,No injuries noted or visible,TRUE,TRUE,Internal Pain/Discomfort,Black,Male,32,White,Male,38,8,944d5351f0b8622c5eef80259430f61d
983a4692c4036203ccb8c84a8ebd2bb9,9/7/14 0:00,Operations Division,North District,ND Middle Shift,,Resisting Arrest,Physical-Weight Leverage,In compliance,Arrest,TRUE,Public Intoxication,FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,White,Female,23,White,Male,49,9,bbb6a1c59c2230051244ae59fcd0f7f4
983a4692c4036203ccb8c84a8ebd2bb9,9/7/14 0:00,Operations Division,North District,ND Middle Shift,,Resisting Arrest,Less Lethal-Personal CS/OC spray,In compliance,Arrest,TRUE,Public Intoxication,FALSE,FALSE,No injuries noted or visible,FALSE,FALSE,No injuries noted or visible,White,Female,23,White,Male,49,9,bbb6a1c59c2230051244ae59fcd0f7f4
