dept,city,state,address_or_intersection,charge_code,cross_street,date,encounter_type,incident_id,incident_reason,latitude,longitude,number_of_suspects,number_officers_involved,officer_age,officer_death,officer_ethnicity,officer_gender,officer_id,officer_injured,officer_injuries_detail,officer_race,officer_yrs_experience,reason_for_force,reason_for_force_detailed,search_conducted,search_conducted_person,search_conducted_vehicle,search_reason,subject_age,subject_death,subject_description,subject_gender,subject_id,subject_injured,subject_injuries_detail,subject_priors,subject_race,subject_weapon_possessed,suspected_crime_type,suspected_crime_type_detailed,type_of_force_used,weapon_or_tool_used
11-00091,Boston,MA,1050 TREMONT ST,,,2014-06-17 00:00:00,IOF,970576,INVESTIGATIVE,,,,,45,,,,91711,,,H(Hispanic),,,,,,,,,,,MALE,,,,,H(Hispanic),,"DRUGS, INVESTIGATION",,,
11-00091,Boston,MA,00 DORCHESTER AV,,,2011-05-27 00:00:00,IO,774690,OTHER (SPECIFY),,,,,19,,,,103783,,,W(White),,,,,,,,,,,MALE,,,,,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,35 SUDAN ST,,,2011-11-13 00:00:00,F,813456,MOTOR VEHICLE VIOLATION,,,,,23,,,,108890,,,B(Black),,,,VP,,,PROBABLE CAUSE,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, MV",,,
11-00091,Boston,MA,12 CHANNEL ST,,,2011-08-11 00:00:00,IO,771520,RADIO CALL,,,,,18,,,,10558,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PREMISES",,,
11-00091,Boston,MA, WILLOWWOOD ST at NORFOLK ST,,,2013-10-12 00:00:00,IOF,931057,,,,,,36,,,,116885,,,B(Black),,,,V,,,PROBABLE CAUSE,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA, TREMONT ST at BRENTON ST,,,2015-01-23 00:00:00,IO,1047214,RADIO CALL,,,,,27,,,,11817,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,94 W NEWTON ST,,,2013-06-13 00:00:00,IO,919962,OTHER (SPECIFY),,,,,24,,,,11817,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,0 BEACH ST,,,2011-02-18 00:00:00,O,700373,OTHER (SPECIFY),,,,,34,,,,11138,,,W(White),,,,,,,,,,,MALE,,,,NO,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,416 WARREN ST,,,2013-11-12 00:00:00,IOF,932819,RADIO CALL,,,,,22,,,,102957,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,AFFRAY,,,
11-00091,Boston,MA,0 ESSEX ST at HARRISON AV,,,2013-03-14 00:00:00,IO,912175,INVESTIGATIVE,,,,,42,,,,54335,,,W(White),,,,,,,REASONABLE SUSPICION,,,,MALE,,,,YES,W(White),,"DRUGS, INVESTIGATION",,,
11-00091,Boston,MA, ESSEX ST,,,2013-08-30 00:00:00,I,927902,INVESTIGATIVE,,,,,28,,,,10801,,,W(White),,,,,,,,,,,FEMALE,,,,,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,1581 DORCHESTER AV,,,2012-03-17 00:00:00,O,872994,MOTOR VEHICLE VIOLATION,,,,,26,,,,93256,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, MV",,,
11-00091,Boston,MA, ADAMS ST at ROBINSON ST,,,2012-03-05 00:00:00,OF,868904,INVESTIGATIVE,,,,,17,,,,108890,,,A(Asian or Pacific Islander),,,,P,,,,,,,MALE,,,,YES,A(Asian or Pacific Islander),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, LYFORD ST at WOODROW AV,,,2014-06-02 00:00:00,O,952636,,,,,,18,,,,103782,,,B(Black),,,,,,,,,,,FEMALE,,,,,B(Black),,VAL,,,
11-00091,Boston,MA,41 PEARL ST,,,2014-09-24 00:00:00,IOF,970223,MOTOR VEHICLE VIOLATION,,,,,23,,,,98656,,,B(Black),,,,VP,,,PROBABLE CAUSE,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA, MALCOLM X BL at SHAWMUT AV,,,2011-05-05 00:00:00,IO,710340,MOTOR VEHICLE VIOLATION,,,,,35,,,,98660,,,W(White),,,,,,,,,,,FEMALE,,,,NO,W(White),,VAL,,,
11-00091,Boston,MA,75 BOYLSTON ST,,,2014-05-12 00:00:00,O,953440,INVESTIGATIVE,,,,,18,,,,116170,,,W(White),,,,,,,PROBABLE CAUSE,,,,MALE,,,,NO,W(White),,"CITY ORDINANCE OTHER,",,,
11-00091,Boston,MA,152 RUTHVEN ST,,,2011-10-28 00:00:00,IO,778442,OTHER (SPECIFY),,,,,16,,,,11447,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,7 TEMPLE PL,,,2011-12-22 00:00:00,IO,859969,RADIO CALL,,,,,-1,,,,10462,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"B&E, RESIDENCE - NIGHT",,,
11-00091,Boston,MA,0 SEAVER ST at NORMANDY ST,,,2013-08-13 00:00:00,IO,925435,INVESTIGATIVE,,,,,42,,,,92675,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"DRUGS, CONSPIRACY",,,
11-00091,Boston,MA,58 ANNUNCIATION RD,,,2014-10-02 00:00:00,IO,965821,INVESTIGATIVE,,,,,21,,,,92675,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,1200 WASHINGTON ST,,,2013-08-14 00:00:00,IO,925499,INVESTIGATIVE,,,,,48,,,,103583,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,TRESPASSING,,,
11-00091,Boston,MA,285 OLD COLONY AV,,,2013-09-25 00:00:00,I,929329,,,,,,25,,,,10173,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,A&B,,,
11-00091,Boston,MA,40 PHILBRICK ST,,,2012-08-16 00:00:00,IO,892595,RADIO CALL,,,,,17,,,,98657,,,H(Hispanic),,,,,,,,,,,MALE,,,,YES,H(Hispanic),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, QUINCY ST at DRAYTON AV,,,2014-11-22 00:00:00,IO,973846,INVESTIGATIVE,,,,,27,,,,92675,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, E EIGHTH ST at MERCER ST,,,2014-07-15 00:00:00,IF,955641,RADIO CALL,,,,,19,,,,8662,,,B(Black),,,,,,,,,,,MALE,,,,NO,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, DUDLEY ST at DEARBORN ST,,,2014-09-11 00:00:00,IO,970825,INVESTIGATIVE,,,,,26,,,,92675,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, MATTAPAN ST,,,2012-04-14 00:00:00,IOFS,894769,INVESTIGATIVE,,,,,20,,,,86845,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,19 CHURCH ST,,,2011-09-15 00:00:00,O,774397,,,,,,22,,,,103765,,,B(Black),,,,,,,,,,,FEMALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA,0 G ST at TELEGRAPH ST,,,2013-01-11 00:00:00,IO,906292,,,,,,17,,,,12141,,,W(White),,,,,,,,,,,MALE,,,,,W(White),,"INVESTIGATE, PREMISES",,,
11-00091,Boston,MA, TAFTHILL TR,,,2014-05-22 00:00:00,OFS,950361,,,,,,13,,,,11168,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA,0 BUNKER HILL ST,,,2011-09-11 00:00:00,I,775558,RADIO CALL,,,,,20,,,,10417,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,PUBLIC DRINKING,,,
11-00091,Boston,MA,0 WASHINGTON ST at ASPINWALL R,,,2013-11-05 00:00:00,IOF,933110,INVESTIGATIVE,,,,,16,,,,99722,,,B(Black),,,,,,,,,,,MALE,,,,UNKNOWN,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,162 SEVER ST,,,2013-04-11 00:00:00,IOF,914225,,,,,,-1,,,,12104,,,NO DATA ENTERED,,,,,,,PROBABLE CAUSE,,,,MALE,,,,,NO DATA ENTERED,,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,870 BLUE HILL AV,,,2012-03-07 00:00:00,IO,868913,,,,,,22,,,,10324,,,B(Black),,,,,,,REASONABLE SUSPICION,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,0 TOPEKA ST,,,2011-03-25 00:00:00,IO,708784,,,,,,30,,,,102291,,,W(White),,,,,,,,,,,FEMALE,,,,YES,W(White),,TRESPASSING,,,
11-00091,Boston,MA,289 LEXINGTON ST,,,2012-09-22 00:00:00,IO,897735,,,,,,42,,,,102403,,,H(Hispanic),,,,,,,,,,,MALE,,,,YES,H(Hispanic),,"209A, VERBAL DISPUTE",,,
11-00091,Boston,MA, MERIDIAN ST at CONDOR ST,,,2012-06-27 00:00:00,O,884789,,,,,,21,,,,99731,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,00 SHAWMUT AV,,,2012-07-04 00:00:00,OF,885942,,,,,,32,,,,50297,,,W(White),,,,P,,,PROBABLE CAUSE,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,131 ORMOND ST,,,2012-03-13 00:00:00,O,871798,,,,,,26,,,,116222,,,B(Black),,,,,,,,,,,MALE,,,,,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,467 CENTRE ST,,,2012-07-10 00:00:00,IOFS,885924,RADIO CALL,,,,,28,,,,102399,,,UNKNOWN,,,,,,,,,,,MALE,,,,YES,UNKNOWN,,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, REDDY AV,,,2011-09-05 00:00:00,IO,774646,INVESTIGATIVE,,,,,18,,,,11965,,,H(Hispanic),,,,,,,,,,,MALE,,,,YES,H(Hispanic),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, PARK ST at EVERETT ST,,,2014-03-08 00:00:00,O,960204,INVESTIGATIVE,,,,,37,,,,102959,,,B(Black),,,,,,,,,,,FEMALE,,,,YES,B(Black),,"PROSTITUTION, COMMON NIGHT WALKER",,,
11-00091,Boston,MA,00 ALBANY ST,,,2013-02-02 00:00:00,IOS,907715,,,,,,45,,,,98667,,,W(White),,,,V,,,CONSENT SEARCH,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,0 WASHINGTON ST at CEDAR ST,,,2012-04-05 00:00:00,IO,877454,RADIO CALL,,,,,48,,,,103590,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, TREMONT ST at WIGGLESWORTH ST,,,2014-10-01 00:00:00,I,964766,INVESTIGATIVE,,,,,25,,,,126524,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,00 DWIGHT ST,,,2014-03-20 00:00:00,OF,942365,INVESTIGATIVE,,,,,46,,,,126566,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,DISTURBANCE,,,
11-00091,Boston,MA,28 MICHIGAN AV,,,2013-03-09 00:00:00,S,911281,INVESTIGATIVE,,,,,19,,,,83574,,,B(Black),,,,,,,PROBABLE CAUSE,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,10 PERCIVAL ST,,,2011-12-14 00:00:00,O,859861,INVESTIGATIVE,,,,,22,,,,11826,,,B(Black),,,,,,,,,,,FEMALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, REGENT ST at CIRCUIT ST,,,2013-11-29 00:00:00,IO,933897,MOTOR VEHICLE VIOLATION,,,,,20,,,,102682,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA,90 ORTON MAROTTA WY,,,2014-05-14 00:00:00,IOF,953054,,,,,,18,,,,108890,,,B(Black),,,,,,,,,,,MALE,,,,NO,B(Black),,GUNSHOTS,,,
11-00091,Boston,MA,85 MAPLEWOOD ST,,,2011-04-06 00:00:00,IO,704502,RADIO CALL,,,,,55,,,,11578,,,W(White),,,,,,,REASONABLE SUSPICION,,,,MALE,,,,NO,W(White),,"INVESTIGATE, MV",,,
11-00091,Boston,MA,1 CONGRESS ST,,,2011-01-20 00:00:00,O,699617,INVESTIGATIVE,,,,,27,,,,99724,,,B(Black),,,,,,,PROBABLE CAUSE,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, MV",,,
11-00091,Boston,MA,14 DANUBE ST,,,2012-04-24 00:00:00,O,876899,,,,,,29,,,,91889,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,VAL,,,
11-00091,Boston,MA,0 HAZELWOOD CT,,,2012-03-19 00:00:00,IOFS,871275,INVESTIGATIVE,,,,,29,,,,11610,,,W(White),,,,,,,,,,,MALE,,,,YES,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA,40  MILLS ST,,,2013-08-14 00:00:00,IO,926849,INVESTIGATIVE,,,,,20,,,,75659,,,W(White),,,,,,,,,,,FEMALE,,,,,W(White),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, CHENEY ST at HARTWELL ST,,,2011-06-30 00:00:00,IO,715897,OTHER (SPECIFY),,,,,25,,,,91889,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, TALBOT AV at WASHINGTON ST,,,2011-02-23 00:00:00,IO,700440,,,,,,37,,,,99726,,,H(Hispanic),,,,,,,,,,,MALE,,,,NO,H(Hispanic),,VAL,,,
11-00091,Boston,MA,00 SCHOOL ST at WASHINGTON ST,,,2013-10-07 00:00:00,IO,931207,INVESTIGATIVE,,,,,23,,,,97302,,,B(Black),,,,,,,,,,,MALE,,,,YES,B(Black),,"INVESTIGATE, PERSON",,,
11-00091,Boston,MA, BUSHNELL ST,,,2012-02-07 00:00:00,IOF,868071,INVESTIGATIVE,,,,,19,,,,11689,,,B(Black),,,,,,,,,,,MALE,,,,NO,B(Black),,"INVESTIGATE, PERSON",,,
23-00089,Indianapolis,IN,,,,2015-08-11 00:00:00,,87862b7655bc93e67e1de974e99835ac,Warrant Service,,,,,53,,,Male,24edb347b490d4d813b9c3628af44882,,No injuries noted or visible,White,30,Non-Compliant,,,,,,20,,,Male,,FALSE,No injuries noted or visible,,Black,,Resisting Law Enforcement (M),,Physical-Take Down,
23-00089,Indianapolis,IN,,,,2015-02-05 00:00:00,,6549a5f37cb95c6a9fb3b60787ea7554,Call For Service,,,,,36,,,Male,61ee26736774049817c13b6c5f6889dd,,No injuries noted or visible,White,10,Combative Suspect,,,,,,14,,,Male,,FALSE,No injuries noted or visible,,Black,,Resisting Law Enforcement (M),,Physical-Weight Leverage,
23-00089,Indianapolis,IN,,,,2017-07-15 00:00:00,,b6e6c42fbeb2d2e177913367794aedd5,Off-Duty Employment,,,,,29,,,Male,7552069aa80a55151fb9ba25bf38bf1a,,REDNESS,White,3,Resisting Arrest,,,,,,26,,,Male,,TRUE,Minor Scrapes,,White,,Resisting Law Enforcement (F),,Physical-Take Down,
23-00089,Indianapolis,IN,,,,2017-06-05 00:00:00,,f37e2afcfb8a4b89b5f1bd176e0ed5d9,Assisting a Citizen,,,,,27,,,Male,3114766aa2ffa335ead5d7a205934148,,,White,3,Combative Suspect,,,,,,41,,,Male,,FALSE,No injuries noted or visible,,Black,,,,Physical-Handcuffing,
23-00089,Indianapolis,IN,,,,2014-10-16 00:00:00,,cc0da6ec4a78212cc87148a760ca7e8d,Arrest,,,,,47,,,Male,30f34b8a0f288fc1270e306627b42e8c,,Swelling,White,14,Combative Suspect,,,,,,49,,,Male,,TRUE,Laceration,,White,,Resisting Law Enforcement (F),,"Physical-Hands, Fist, Feet",
23-00089,Indianapolis,IN,,,,2015-09-02 00:00:00,,45a97815501e51f1edd2373c954cf505,Arrest,,,,,37,,,Male,84fe72786ab3a1ec3cbe3a89c35b83d2,,,White,8,Resisting Arrest,,,,,,27,,,Female,,TRUE,Laceration,,White,,Resisting Law Enforcement (M),,Physical-Leg Sweep,
23-00089,Indianapolis,IN,,,,2017-04-09 00:00:00,,79d4e72f7eaf488a4e8719d10afa926f,Arrest,,,,,26,,,Male,aa03cb945239192138d073ce3db8c8e7,,,White,2,Assaulting Officer(s),,,,,,25,,,Male,,FALSE,,,Black,,Battery (F),,Physical-Weight Leverage,
23-00089,Indianapolis,IN,,,,2016-10-28 00:00:00,,836784a73a2aa60ebfad01c0945aa40c,Call For Service,,,,,50,,,Male,920733f97fbea210e57ddc6627acb3a2,,No injuries noted or visible,White,16,Fleeing,,,,,,31,,,Male,,TRUE,Complaint of Pain,,Black,,Operating a Vehicle While Intoxicated (M),,Physical-Handcuffing,
