CRIME_TYPE,INCIDENT_DATE,INCIDENT_UNIQUE_IDENTIFIER,INCIDENT_REASON,LOCATION_DISTRICT,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE
PETTY THEFT,1/21/17 10:15,17-901317,THEFT,03X,OAK ST & 8TH ST,Oakland,CA
BURG - RESIDENTIAL,1/5/17 9:00,17-001186,BURGLARY-FORCIBLE ENTRY,14X,300 BELLEVUE AV,Oakland,CA
BURG - AUTO,1/23/17 19:05,17-901318,BURGLARY-AUTO,17X,500 E 20TH ST,Oakland,CA
ARSON,12/6/16 23:04,16-064536,MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES,02Y,1400 3RD ST,Oakland,CA
ROBBERY,12/6/16 23:00,16-064539,ROBBERY-FIREARM,26X,800 66TH AV,Oakland,CA
ROBBERY,12/6/16 23:35,16-064540,ROBBERY-FIREARM,19X,1100 E 11TH ST,Oakland,CA
THREATS,12/6/16 19:00,16-064542,THREAT CRIME:INT:TERRORIZE,17Y,2600 14TH AV,Oakland,CA
GRAND THEFT,12/23/16 17:20,17-900805,GRAND THEFT,08X,100 GRAND AV,Oakland,CA
PETTY THEFT,1/21/17 0:00,17-901303,THEFT,08X,NORTHGATE AV & SYCAMORE ST,Oakland,CA
STOLEN VEHICLE,11/16/16 11:00,16-061175,VEHICLE THEFT - AUTO,04X,19TH ST & CASTRO ST,Oakland,CA
GRAND THEFT,1/20/17 0:00,17-901305,GRAND THEFT,13Y,00 SCHOONER HILL,Oakland,CA
ARSON,12/6/16 1:03,16-064553,MAL SET/ETC FIRE PROP/ETC,35Y,15000 SKYLINE BLVD,Oakland,CA
BURG - RESIDENTIAL,12/6/16 16:30,16-064483,BURGLARY-FORCIBLE ENTRY,33X,1000 81ST AV,Oakland,CA
STOLEN VEHICLE,12/4/16 6:00,16-065004,VEHICLE THEFT - AUTO,23X,3700 INTERNATIONAL BLVD,Oakland,CA
PROSTITUTION,12/6/16 16:40,16-064486,DISORDERLY CONDUCT:PROSTITUTION,04X,1400 FRANKLIN ST,Oakland,CA
STOLEN VEHICLE,12/6/16 6:50,16-064489,VEHICLE THEFT - AUTO,26X,400 LESSER ST,Oakland,CA
STOLEN VEHICLE,12/7/16 19:00,16-065558,VEHICLE THEFT - AUTO,27X,2300 HIGH ST,Oakland,CA
DISORDERLY CONDUCT,1/12/17 13:50,17-002085,FIGHT/CHALLENGE IN PUBLIC PLACE,29X,5500 BROOKDALE AV,Oakland,CA
,1/12/17 14:10,17-002086,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",15X,IFO 350 WAYNE AVE,Oakland,CA
PETTY THEFT,11/18/16 17:00,16-061897,THEFT,30Y,2500 CHURCH ST,Oakland,CA
STOLEN VEHICLE,1/12/17 13:00,17-002092,VEHICLE THEFT - AUTO,10Y,700 43RD ST,Oakland,CA
VANDALISM,1/12/17 15:10,17-002095,VANDALISM,08X,400 29TH ST,Oakland,CA
STOLEN VEHICLE,12/7/16 23:00,16-065576,VEHICLE THEFT - AUTO,04X,100 19TH ST,Oakland,CA
STOLEN VEHICLE,12/2/16 2:00,16-064313,VEHICLE THEFT - AUTO,18Y,2100 E 24TH ST,Oakland,CA
BURG - RESIDENTIAL,1/12/17 14:11,17-002097,BURGLARY-FORCIBLE ENTRY,19X,400 E 11TH ST,Oakland,CA
STOLEN VEHICLE,1/12/17 6:15,17-002001,VEHICLE THEFT - AUTO,29X,4000 EDWARDS AV,Oakland,CA
BURG - AUTO,1/11/17 20:00,17-002006,BURGLARY-AUTO,14X,300 WARWICK AV,Oakland,CA
RECOVERED O/S STOLEN,1/12/17 9:15,17-002009,VEHICLE THEFT - AUTO,23X,3900 E 12TH ST,Oakland,CA
PETTY THEFT,12/5/16 0:00,16-065500,THEFT,27X,2100 51ST AV,Oakland,CA
STOLEN VEHICLE,11/14/16 14:45,16-060712,VEHICLE THEFT - AUTO,04X,300 22ND ST,Oakland,CA
BURG - RESIDENTIAL,1/12/17 2:26,17-001974,BURGLARY-FORCIBLE ENTRY,02X,700 11TH ST,Oakland,CA
PETTY THEFT,11/14/16 8:00,16-060713,THEFT,03Y,400 7TH ST,Oakland,CA
VANDALISM,1/12/17 5:45,17-001980,VANDALISM,35X,9300 THERMAL ST,Oakland,CA
STOLEN VEHICLE,11/17/16 19:30,16-061412,VEHICLE THEFT - AUTO,20X,1700 27TH AV,Oakland,CA
NARCOTICS,1/12/17 12:10,17-002069,POSSESS NARCOTIC CONTROLLED SUBSTANCE,30X,6600 ARTHUR ST,Oakland,CA
RECOVERED O/S STOLEN,1/12/17 12:50,17-002070,VEHICLE THEFT - AUTO,24X,2400 34TH AV,Oakland,CA
STOLEN VEHICLE,1/12/17 12:50,17-002075,VEHICLE THEFT - AUTO,24X,2400 34TH AV,Oakland,CA
DISORDERLY CONDUCT,1/11/17 10:50,17-002077,DISTURB THE PEACE,31Y,9800 EDES AV,Oakland,CA
STOLEN VEHICLE,1/12/17 14:15,17-002079,VEHICLE THEFT - AUTO,26Y,1200 65TH AV,Oakland,CA
STOLEN VEHICLE,11/20/16 16:00,16-061835,VEHICLE THEFT - AUTO,14Y,700 RAND AV,Oakland,CA
DOMESTIC VIOLENCE,11/20/16 11:00,16-061838,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,07X,800 MEAD AV,Oakland,CA
MISDEMEANOR ASSAULT,1/12/17 0:36,17-001967,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,05X,1000 16TH ST,Oakland,CA
VANDALISM,1/20/17 20:00,17-901292,VANDALISM,08X,26TH ST & TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/20/17 21:00,17-901293,BURGLARY-AUTO,04X,400 17TH ST,Oakland,CA
BURG - AUTO,1/20/17 22:30,17-901294,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA
FRAUD,1/21/17 9:55,17-901295,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,77X,CAMPBELL ST,Oakland,CA
BURG - RESIDENTIAL,1/15/17 9:00,17-901296,BURGLARY-FORCIBLE ENTRY,05X,2100 MANDELA PKWY,Oakland,CA
BURG - AUTO,12/24/16 22:40,16-917619,BURGLARY-AUTO,03X,1000 WEBSTER ST,Oakland,CA
VANDALISM,1/20/17 21:00,17-901297,VANDALISM,02Y,PINE ST & CHASE ST,Oakland,CA
BURG - AUTO,1/20/17 13:20,17-901298,BURGLARY-AUTO,77X,BRANDON ST,Oakland,CA
BURG - AUTO,1/21/17 11:30,17-901299,BURGLARY-AUTO,77X,CLIFTON ST,Oakland,CA
VANDALISM,1/20/17 15:30,17-901300,VANDALISM,08X,300 HAWTHORNE AV,Oakland,CA
FRAUD,12/29/16 15:15,17-901001,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,25Y,6200 BOULDER AV,Oakland,CA
BURG - AUTO,1/20/17 21:30,17-901301,BURGLARY-AUTO,03X,1000 OAK ST,Oakland,CA
STOLEN VEHICLE,12/30/16 16:00,17-000086,VEHICLE THEFT - AUTO,09X,3800 PIEDMONT AV,Oakland,CA
BURG - AUTO,1/21/17 12:05,17-901302,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA
WEAPONS,12/6/16 21:50,16-064526,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,07X,3200 LINDEN ST,Oakland,CA
BURG - AUTO,12/6/16 8:00,16-064529,BURGLARY-AUTO,19X,1900 EMBARCADERO,Oakland,CA
BURG - RESIDENTIAL,12/6/16 10:00,16-064402,BURGLARY-FORCIBLE ENTRY,77X,2700 E C REAMS CT,Oakland,CA
STOLEN VEHICLE,12/2/16 16:00,16-064548,VEHICLE THEFT - AUTO,17X,500 E 18TH ST,Oakland,CA
MISDEMEANOR ASSAULT,12/6/16 10:23,16-064403,BATTERY,26X,E 12TH ST & 48TH AV,Oakland,CA
WEAPONS,12/6/16 13:21,16-064448,CARRY CONCEALD STOLEN WPN,24X,GALINDO ST & HARRINGTON AV,Oakland,CA
TOWED VEHICLE,12/6/16 15:51,16-064481,BUY/SELL/POSSESS VEHICLE WITH ALTERED NUMBER,30Y,2500 RITCHIE ST,Oakland,CA
DISORDERLY CONDUCT,12/4/16 9:30,16-065001,DISTURB THE PEACE,26X,5400 COLISEUM WY,Oakland,CA
STOLEN VEHICLE,12/6/16 17:04,16-064482,VEHICLE THEFT - AUTO,35X,8300 NEY AV,Oakland,CA
BURG - RESIDENTIAL,12/6/16 6:15,16-064530,BURGLARY-NO FORCE,07X,2500 FILBERT ST,Oakland,CA
DOMESTIC VIOLENCE,12/6/16 21:59,16-064531,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,16Y,1200 EXCELSIOR AV,Oakland,CA
BURG - AUTO,12/6/16 15:00,16-064532,BURGLARY-AUTO,20X,1300 DERBY AV,Oakland,CA
ROBBERY,12/6/16 16:30,16-064534,ROBBERY-FIREARM,21Y,3100 BONA ST,Oakland,CA
BURG - AUTO,1/20/17 17:00,17-901282,BURGLARY-AUTO,13Y,00 HILLER DR,Oakland,CA
PETTY THEFT,1/5/17 20:00,17-001070,THEFT,27X,4600 TYRRELL ST,Oakland,CA
BURG - AUTO,1/20/17 20:00,17-901283,BURGLARY-AUTO,04X,300 19TH ST,Oakland,CA
BURG - AUTO,1/20/17 18:00,17-901284,BURGLARY-AUTO,04X,500 17TH ST,Oakland,CA
STOLEN VEHICLE,12/30/16 17:00,17-000863,VEHICLE THEFT - AUTO,05Y,1400 16TH ST,Oakland,CA
BURG - AUTO,1/20/17 22:40,17-901285,BURGLARY-AUTO,11X,500 51ST ST,Oakland,CA
BURG - RESIDENTIAL,1/5/17 9:00,17-001076,BURGLARY-FORCIBLE ENTRY,25Y,14100 SKYLINE BLVD,Oakland,CA
BURG - AUTO,1/20/17 20:40,17-901286,BURGLARY-AUTO,12X,4900 SHATTUCK AV,Oakland,CA
BURG - AUTO,1/20/17 20:00,17-901287,BURGLARY-AUTO,12X,5000 TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/21/17 0:35,17-901288,BURGLARY-AUTO,06X,3800 MARTIN LUTHER KING JR W,Oakland,CA
VANDALISM,1/20/17 20:00,17-901290,VANDALISM,11X,500 51ST ST,Oakland,CA
BURG - AUTO,12/24/16 13:00,16-917603,BURGLARY-AUTO,31X,7000 COLISEUM WY,Oakland,CA
BURG - AUTO,1/20/17 8:35,17-901291,BURGLARY-AUTO,31X,400 HEGENBERGER RD,Oakland,CA
PETTY THEFT,12/28/16 13:00,16-917668,THEFT,23X,3900 ALAMEDA AV,Oakland,CA
BURG - AUTO,1/19/17 0:00,17-901270,BURGLARY-AUTO,14X,300 BELLEVUE AV,Oakland,CA
PETTY THEFT,1/20/17 12:30,17-901271,THEFT,04X,1600 BROADWAY,Oakland,CA
GRAND THEFT,1/20/17 12:30,17-901273,GRAND THEFT,09X,4000 PIEDMONT AV,Oakland,CA
STOLEN VEHICLE,1/5/17 22:00,17-001130,ATTEMPT VEHICLE THEFT-AUTO,17X,1800 11TH AV,Oakland,CA
STOLEN VEHICLE,12/28/16 10:00,17-000106,VEHICLE THEFT - AUTO,09X,00 WESTALL AV,Oakland,CA
GRAND THEFT,1/19/17 19:15,17-901274,GRAND THEFT,12X,4900 TELEGRAPH AV,Oakland,CA
STOLEN AND RECOVERED VEHICLE,1/9/17 12:00,17-001887,VEHICLE THEFT - AUTO,09X,4400 PIEDMONT AV,Oakland,CA
BURG - AUTO,1/20/17 17:01,17-901275,BURGLARY-AUTO,12X,400 40TH ST,Oakland,CA
BURG - AUTO,1/20/17 19:15,17-901276,BURGLARY-AUTO,03X,900 FRANKLIN ST,Oakland,CA
FELONY ASSAULT,12/3/16 19:00,16-064933,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,05X,1800 LINDEN ST,Oakland,CA
BURG - AUTO,1/20/17 18:15,17-901278,BURGLARY-AUTO,09X,3800 PIEDMONT AV,Oakland,CA
VANDALISM,1/20/17 18:30,17-901279,VANDALISM,01X,400 OAK ST,Oakland,CA
BURG - AUTO,1/20/17 19:30,17-901280,BURGLARY-AUTO,03X,200 8TH ST,Oakland,CA
FELONY ASSAULT,12/6/16 12:30,16-064479,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,02Y,700 WILLOW ST,Oakland,CA
WEAPONS,12/6/16 16:32,16-064480,CARRY CONCEALED WEAPON IN VEHICLE,09X,3900 PIEDMONT AV,Oakland,CA
ROBBERY,12/6/16 4:45,16-064359,ROBBERY-FIREARM,08X,30TH ST & BROADWAY,Oakland,CA
MISDEMEANOR ASSAULT,12/6/16 7:57,16-064368,FIGHT/CHALLENGE IN PUBLIC PLACE,27X,48TH AV & VICKSBURG AV,Oakland,CA
BURG - RESIDENTIAL,1/12/17 0:24,17-001965,BURGLARY-FORCIBLE ENTRY,34X,1900 89TH AV,Oakland,CA
STOLEN VEHICLE,12/6/16 8:30,16-064378,VEHICLE THEFT - AUTO,14X,300 EUCLID AV,Oakland,CA
RECOVERED O/S STOLEN,12/6/16 8:24,16-064381,VEHICLE THEFT - AUTO,25Y,7700 HANSOM DR,Oakland,CA
ROBBERY,12/6/16 8:20,16-064384,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26Y,1200 81ST AV,Oakland,CA
BURG - AUTO,12/2/16 15:00,16-065034,BURGLARY-AUTO,07X,1300 W GRAND AV,Oakland,CA
STOLEN VEHICLE,12/6/16 20:18,16-064510,VEHICLE THEFT - AUTO,26X,4600 MALAT ST,Oakland,CA
STOLEN VEHICLE,12/6/16 6:00,16-064518,VEHICLE THEFT - AUTO,04X,2100 SAN PABLO AV,Oakland,CA
VANDALISM,12/6/16 19:30,16-064521,VANDALISM,26Y,76TH AV & INTERNATIONAL BLVD,Oakland,CA
BURG - RESIDENTIAL,1/11/17 7:00,17-001966,BURGLARY-NO FORCE,17X,400 E 19TH ST,Oakland,CA
BURG - AUTO,1/15/17 21:30,17-901264,BURGLARY-AUTO,26X,500 66TH AV,Oakland,CA
STOLEN VEHICLE,1/9/17 8:00,17-001864,VEHICLE THEFT - AUTO,03Y,400 7TH ST,Oakland,CA
PETTY THEFT,1/19/17 13:05,17-901265,THEFT,34X,1400 88TH AV,Oakland,CA
PETTY THEFT,1/20/17 15:10,17-901266,THEFT,15X,200 E 18TH ST,Oakland,CA
VANDALISM,1/19/17 16:00,17-901267,VANDALISM,77X,LAKESIDE DR,Oakland,CA
STOLEN VEHICLE,1/5/17 20:20,17-001115,VEHICLE THEFT - AUTO,03X,800 WEBSTER ST,Oakland,CA
PETTY THEFT,1/5/17 10:00,17-001120,THEFT,13Y,6600 HEATHER RIDGE WY,Oakland,CA
VANDALISM,12/28/16 4:00,16-917645,VANDALISM,13X,5900 TAFT AV,Oakland,CA
BURG - AUTO,12/28/16 5:00,16-917646,BURGLARY-AUTO,10Y,800 52ND ST,Oakland,CA
BURG - AUTO,1/17/17 17:30,17-901268,BURGLARY-AUTO,19X,700 INTERNATIONAL BLVD,Oakland,CA
FRAUD,12/28/16 9:25,16-917655,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,02Y,1600 11TH ST,Oakland,CA
PETTY THEFT,12/28/16 16:50,16-917663,THEFT,19X,500 EMBARCADERO,Oakland,CA
GRAND THEFT,12/28/16 17:25,16-917665,GRAND THEFT,16X,3200 LAKESHORE AV,Oakland,CA
VANDALISM,1/11/17 18:35,17-901263,VANDALISM,17X,9TH AV & E 20TH ST,Oakland,CA
BURG - OTHER,1/6/17 14:30,17-001424,BURGLARY-FORCIBLE ENTRY,22Y,4100 REDWOOD RD,Oakland,CA
OTHER,12/4/16 12:00,16-064821,APPROPRIATE LOST PROPERTY-MISD,03Y,400 7TH ST,Oakland,CA
FELONY ASSAULT,12/6/16 14:21,16-064452,ASSAULT WITH FIREARM ON PERSON,31Y,98TH AV & LYNDHURST ST,Oakland,CA
MISDEMEANOR ASSAULT,12/6/16 10:01,16-064454,FIGHT/CHALLENGE IN PUBLIC PLACE,10Y,600 41ST ST,Oakland,CA
MISDEMEANOR ASSAULT,12/6/16 15:08,16-064462,BATTERY,35X,8600 MACARTHUR BLVD,Oakland,CA
STOLEN VEHICLE,12/6/16 15:00,16-064465,VEHICLE THEFT - AUTO,01X,3RD ST & WEBSTER ST,Oakland,CA
RECOVERED O/S STOLEN,12/6/16 15:35,16-064468,VEHICLE THEFT - AUTO,26X,4800 SAN LEANDRO ST,Oakland,CA
PROSTITUTION,12/6/16 15:30,16-064470,DISORDERLY CONDUCT:PROSTITUTION,03Y,500 8TH ST,Oakland,CA
NARCOTICS,12/6/16 15:19,16-064471,POSSESS MARIJUANA/HASHISH FOR SALE,31Y,9900 EMPIRE RD,Oakland,CA
PETTY THEFT,1/11/17 18:30,17-002057,PETTY THEFT:$50-,08X,00 FAIRMOUNT AV,Oakland,CA
THREATS,12/6/16 15:00,16-064472,THREAT CRIME:INT:TERRORIZE,26X,6200 SAN LEANDRO ST,Oakland,CA
DOMESTIC VIOLENCE,12/6/16 15:55,16-064477,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,13Y,5600 MERRIEWOOD DR,Oakland,CA
DOMESTIC VIOLENCE,1/10/17 22:00,17-001963,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,10Y,4900 MARTIN LUTHER KING JR W,Oakland,CA
OTHER,12/9/16 0:00,16-066096,APPROPRIATE LOST PROPERTY-MISD,06X,800 35TH ST,Oakland,CA
DISORDERLY CONDUCT,12/9/16 21:00,16-066098,DISTURB THE PEACE,31X,7000 COLISEUM WY,Oakland,CA
PETTY THEFT,12/16/16 10:00,17-000564,THEFT,29X,6400 MACARTHUR BLVD,Oakland,CA
PETTY THEFT,12/24/16 14:35,16-917575,THEFT,28X,4600 BROOKDALE AV,Oakland,CA
PETTY THEFT,12/24/16 1:30,16-917578,THEFT,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA
OTHER,1/16/17 9:45,17-901257,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,,1200 40TH ST,Oakland,CA
BURG - AUTO,1/19/17 23:40,17-901258,BURGLARY-AUTO,,00 14TH,Oakland,CA
DISORDERLY CONDUCT,12/5/16 19:57,16-065037,DISTURB THE PEACE,34X,8500 HOLLY ST,Oakland,CA
BURG - AUTO,1/11/17 11:05,17-901259,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA
PETTY THEFT,1/20/17 13:45,17-901260,THEFT,30X,8100 INTERNATIONAL BLVD,Oakland,CA
MISDEMEANOR ASSAULT,12/30/16 1:30,17-000114,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,04X,2200 MARTIN LUTHER KING JR W,Oakland,CA
BURG - RESIDENTIAL,1/20/17 14:35,17-901261,BURGLARY-FORCIBLE ENTRY,04X,600 THOMAS L. BERKLEY WY,Oakland,CA
BURG - AUTO,12/30/16 17:00,17-000079,BURGLARY-AUTO,14X,400 STATEN AV,Oakland,CA
MISDEMEANOR ASSAULT,1/12/17 20:30,17-002146,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,02Y,500 HENRY ST,Oakland,CA
DISORDERLY CONDUCT,12/2/16 8:00,16-065045,FIGHT/CHALLENGE FIGHT PUBLIC PLACE,20X,1900 FRUITVALE AV,Oakland,CA
STOLEN VEHICLE,1/5/17 22:00,17-001048,VEHICLE THEFT - AUTO,14X,400 GRAND AV,Oakland,CA
DOMESTIC VIOLENCE,1/12/17 20:00,17-002147,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,6500 FENHAM ST,Oakland,CA
VANDALISM,1/16/17 9:00,17-002033,"VANDALISM [UNDER $1,000] (AMENDED)",4X,00 FRANK H OGAWA PLAZA,Oakland,CA
BURG - RESIDENTIAL,1/11/17 4:30,17-002036,BURGLARY-FORCIBLE ENTRY,25X,3600 BROWN AV,Oakland,CA
DOMESTIC VIOLENCE,12/25/16 4:00,17-000154,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,2200 E 15TH ST,Oakland,CA
STOLEN VEHICLE,12/6/16 23:30,16-064568,VEHICLE THEFT - AUTO,19X,1100 E. 11TH ST,Oakland,CA
ROBBERY,1/12/17 10:30,17-002039,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1100 E 12TH ST,Oakland,CA
BURG - RESIDENTIAL,1/12/17 9:15,17-002045,BURGLARY-NO FORCE,14X,200 JAYNE AV,Oakland,CA
VANDALISM,1/12/17 9:15,17-002046,VANDALISM,32Y,2300 109TH AV,Oakland,CA
BURG - AUTO,1/12/17 10:00,17-002048,BURGLARY-AUTO,31X,8400 EDGEWATER DR,Oakland,CA
PETTY THEFT,1/5/17 19:00,17-001101,THEFT,35X,8500 THERMAL ST,Oakland,CA
BURG - AUTO,1/19/17 14:45,17-901199,BURGLARY-AUTO,14Y,400 SANTA CLARA AV,Oakland,CA
STOLEN VEHICLE,1/19/17 22:30,17-901200,ATTEMPT VEHICLE THEFT-AUTO,01X,500 2ND ST,Oakland,CA
BURG - AUTO,1/19/17 22:00,17-901201,BURGLARY-AUTO,24X,2000 ROSEDALE AV,Oakland,CA
BURG - AUTO,1/17/17 10:00,17-901202,BURGLARY-AUTO,12X,5000 TELEGRAPH AV,Oakland,CA
BURG - AUTO,1/19/17 18:00,17-901204,BURGLARY-AUTO,12X,CLARKE ST & 49TH ST,Oakland,CA
FRAUD,1/20/17 8:15,17-901205,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,09X,4300 PIEDMONT AV,Oakland,CA
BURG - AUTO,1/20/17 0:00,17-901206,BURGLARY-AUTO,07X,3200 MAGNOLIA ST,Oakland,CA
BURG - AUTO,12/23/16 11:30,16-917572,BURGLARY-AUTO,09X,5000 PIEDMONT AV,Oakland,CA
STOLEN VEHICLE,1/5/17 22:00,17-001034,VEHICLE THEFT - AUTO,25Y,00 SKYWAY LN,Oakland,CA
BURG - AUTO,1/5/17 12:30,17-001040,BURGLARY-AUTO,04X,1600 SAN PABLO AV,Oakland,CA
STOLEN VEHICLE,12/26/16 20:00,16-068301,VEHICLE THEFT - AUTO,30X,1600 67TH AV,Oakland,CA
STOLEN VEHICLE,1/5/17 16:40,17-001047,VEHICLE THEFT - AUTO,27Y,1400 SEMINARY AV,Oakland,CA
VANDALISM,1/19/17 18:30,17-901198,VANDALISM,01X,CLAY ST & 3RD ST,Oakland,CA
GRAND THEFT,11/18/16 16:30,16-061878,GRAND THEFT,03Y,400 7TH ST,Oakland,CA
STOLEN VEHICLE,1/12/17 6:00,17-002113,VEHICLE THEFT - AUTO,02X,500 MANDELA PKWY,Oakland,CA
BURG - COMMERCIAL,12/6/16 3:00,16-064420,BURGLARY-FORCIBLE ENTRY,03X,100 13TH ST,Oakland,CA
PETTY THEFT,12/6/16 11:00,16-064422,THEFT,12X,500 43RD ST,Oakland,CA
FELONY ASSAULT,12/6/16 11:40,16-064424,EXHIBIT FIREARM,35X,2400 96TH AV,Oakland,CA
DISORDERLY CONDUCT,1/12/17 17:27,17-002115,DISTURB THE PEACE,03Y,400 7TH ST,Oakland,CA
DOMESTIC VIOLENCE,1/12/17 20:23,17-002137,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,02X,1000 MANDELA PKWY,Oakland,CA
MISDEMEANOR ASSAULT,1/12/17 19:30,17-002143,BATTERY,04X,500 16TH ST,Oakland,CA
MISDEMEANOR ASSAULT,12/6/16 12:12,16-064429,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,21Y,2900 SCHOOL ST,Oakland,CA
FELONY ASSAULT,12/6/16 13:00,16-064440,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,07X,3200 CHESTNUT ST,Oakland,CA
FRAUD,12/29/16 6:00,16-917748,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,15X,2300 LAKESHORE AV,Oakland,CA
DOMESTIC VIOLENCE,2/2/17 20:25,17-002144,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,30X,1400 79TH AV,Oakland,CA
GRAND THEFT,12/23/16 4:10,16-917563,GRAND THEFT,14Y,3300 LAKESHORE AV,Oakland,CA
PETTY THEFT,1/18/17 7:15,17-901192,THEFT,10X,5500 GASKILL ST,Oakland,CA
